iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.14, port 5002
      Cookie: host115.1472986800.754895.4af5d58326
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 51148 connected to 192.168.110.14 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  59.50-60.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  60.00-60.50  sec   279 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  60.50-61.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  61.00-61.50  sec   280 MBytes  4692 Mbits/sec    0   2.31 MBytes       
[  5]  61.50-62.00  sec   279 MBytes  4691 Mbits/sec    0   2.31 MBytes       
[  5]  62.00-62.50  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  62.50-63.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  63.00-63.50  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  63.50-64.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  64.00-64.50  sec   280 MBytes  4692 Mbits/sec    0   2.31 MBytes       
[  5]  64.50-65.00  sec   279 MBytes  4688 Mbits/sec    0   2.38 MBytes       
[  5]  65.00-65.50  sec   280 MBytes  4691 Mbits/sec    0   2.38 MBytes       
[  5]  65.50-66.00  sec   280 MBytes  4692 Mbits/sec    0   2.38 MBytes       
[  5]  66.00-66.50  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  66.50-67.00  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  67.00-67.50  sec   280 MBytes  4695 Mbits/sec    0   2.38 MBytes       
[  5]  67.50-68.00  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  68.00-68.50  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  68.50-69.00  sec   279 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  69.00-69.50  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  69.50-70.00  sec   280 MBytes  4691 Mbits/sec    0   2.38 MBytes       
[  5]  70.00-70.50  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  70.50-71.00  sec   280 MBytes  4691 Mbits/sec    0   2.38 MBytes       
[  5]  71.00-71.50  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  71.50-72.00  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  72.00-72.50  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  72.50-73.00  sec   280 MBytes  4693 Mbits/sec    0   2.38 MBytes       
[  5]  73.00-73.50  sec   279 MBytes  4691 Mbits/sec    0   2.38 MBytes       
