iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.13, port 5002
      Cookie: host115.1472986800.755252.238cf94a18
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 46431 connected to 192.168.110.13 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 268435456000 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  62.00-62.50  sec   103 MBytes  1727 Mbits/sec    0   2.35 MBytes       
[  5]  62.50-63.00  sec   104 MBytes  1748 Mbits/sec    0   2.35 MBytes       
[  5]  63.00-63.50  sec   104 MBytes  1752 Mbits/sec    0   2.35 MBytes       
[  5]  63.50-64.00  sec   104 MBytes  1752 Mbits/sec    0   2.41 MBytes       
[  5]  64.00-64.50  sec   105 MBytes  1757 Mbits/sec    0   2.41 MBytes       
[  5]  64.50-65.00  sec   105 MBytes  1756 Mbits/sec    0   2.41 MBytes       
[  5]  65.00-65.50  sec   105 MBytes  1757 Mbits/sec    0   2.41 MBytes       
[  5]  65.50-66.00  sec   104 MBytes  1737 Mbits/sec    0   2.41 MBytes       
[  5]  66.00-66.50  sec   101 MBytes  1689 Mbits/sec    0   2.41 MBytes       
[  5]  66.50-67.00  sec   102 MBytes  1719 Mbits/sec    0   2.41 MBytes       
[  5]  67.00-67.50  sec   101 MBytes  1699 Mbits/sec    0   2.41 MBytes       
[  5]  67.50-68.00  sec   101 MBytes  1694 Mbits/sec    0   2.41 MBytes       
[  5]  68.00-68.50  sec   102 MBytes  1715 Mbits/sec    0   2.41 MBytes       
[  5]  68.50-69.00  sec   102 MBytes  1711 Mbits/sec    0   2.41 MBytes       
[  5]  69.00-69.50  sec   101 MBytes  1699 Mbits/sec    0   2.41 MBytes       
[  5]  69.50-70.00  sec   104 MBytes  1740 Mbits/sec    0   2.41 MBytes       
[  5]  70.00-70.50  sec   103 MBytes  1729 Mbits/sec    0   2.41 MBytes       
[  5]  70.50-71.00  sec   102 MBytes  1705 Mbits/sec    0   2.41 MBytes       
[  5]  71.00-71.50  sec   101 MBytes  1698 Mbits/sec    0   2.41 MBytes       
[  5]  71.50-72.00  sec   102 MBytes  1716 Mbits/sec    0   2.41 MBytes       
[  5]  72.00-72.50  sec   103 MBytes  1735 Mbits/sec    0   2.41 MBytes       
[  5]  72.50-73.00  sec  98.4 MBytes  1650 Mbits/sec    0   2.41 MBytes       
[  5]  73.00-73.50  sec  96.7 MBytes  1623 Mbits/sec    0   2.41 MBytes       
[  5]  73.50-74.00  sec  97.4 MBytes  1634 Mbits/sec    0   2.41 MBytes       
[  5]  74.00-74.50  sec  98.1 MBytes  1647 Mbits/sec    0   2.41 MBytes       
[  5]  74.50-75.00  sec  98.6 MBytes  1654 Mbits/sec    0   2.41 MBytes       
[  5]  75.00-75.50  sec  98.9 MBytes  1661 Mbits/sec    0   2.41 MBytes       
[  5]  75.50-76.00  sec   100 MBytes  1677 Mbits/sec    0   2.41 MBytes       
[  5]  76.00-76.50  sec   101 MBytes  1690 Mbits/sec    0   2.41 MBytes       
[  5]  76.50-77.00  sec   100 MBytes  1678 Mbits/sec    0   2.41 MBytes       
[  5]  77.00-77.50  sec  98.6 MBytes  1654 Mbits/sec    0   2.41 MBytes       
[  5]  77.50-78.00  sec  98.7 MBytes  1657 Mbits/sec    0   2.41 MBytes       
[  5]  78.00-78.50  sec   100 MBytes  1678 Mbits/sec    0   2.41 MBytes       
[  5]  78.50-79.00  sec   102 MBytes  1708 Mbits/sec    0   2.41 MBytes       
