iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.5, port 5004
      Cookie: host106.1473078600.180832.48d170ce55
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 58028 connected to 192.168.110.5 port 5004
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  96.00-96.50  sec   226 MBytes  3790 Mbits/sec    0   2.51 MBytes       
[  5]  96.50-97.00  sec   288 MBytes  4823 Mbits/sec   93   1.79 MBytes       
[  5]  97.00-97.50  sec   416 MBytes  6985 Mbits/sec    6   1.31 MBytes       
[  5]  97.50-98.00  sec   416 MBytes  6982 Mbits/sec    0   1.36 MBytes       
[  5]  98.00-98.50  sec   417 MBytes  7002 Mbits/sec    0   1.40 MBytes       
[  5]  98.50-99.00  sec   419 MBytes  7028 Mbits/sec    0   1.43 MBytes       
[  5]  99.00-99.50  sec   419 MBytes  7022 Mbits/sec    0   1.46 MBytes       
[  5]  99.50-100.00 sec   418 MBytes  7008 Mbits/sec    0   1.49 MBytes       
[  5] 100.00-100.50 sec   418 MBytes  7004 Mbits/sec    0   1.51 MBytes       
[  5] 100.50-101.00 sec   442 MBytes  7416 Mbits/sec    0   1.52 MBytes       
[  5] 101.00-101.50 sec   441 MBytes  7392 Mbits/sec    0   1.54 MBytes       
[  5] 101.50-102.00 sec   442 MBytes  7414 Mbits/sec    0   1.55 MBytes       
[  5] 102.00-102.50 sec   448 MBytes  7509 Mbits/sec    0   1.55 MBytes       
[  5] 102.50-103.00 sec   454 MBytes  7610 Mbits/sec    0   1.56 MBytes       
[  5] 103.00-103.50 sec   446 MBytes  7483 Mbits/sec  134   1.13 MBytes       
[  5] 103.50-104.00 sec   440 MBytes  7380 Mbits/sec    0   1.17 MBytes       
[  5] 104.00-104.30 sec   275 MBytes  7595 Mbits/sec   25    861 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  5]   0.00-104.30 sec  50.0 GBytes  4118 Mbits/sec  261             sender
[  5]   0.00-104.30 sec  50.0 GBytes  4118 Mbits/sec                  receiver
CPU Utilization: local/sender 12.5% (0.2%u/12.3%s), remote/receiver 0.6% (0.0%u/0.6%s)

iperf Done.
