model	 train	  test       iter	trainLoss	 testLoss	  trainIF	  trainCR   trainAccuracy	   testIF	   testCR    testAccuracy	
wless	   500	  1000	     3427	 3.069445	 3.097604	 14.546000	 10.160000	 0.698474	 14.406000	 9.949000	 0.690615	 0.218000	 0.159000	 3971827.000000	
wless	   500	  1000	    41462	 2.995603	 3.093651	 16.470000	 11.448000	 0.695082	 16.343000	 11.082000	 0.678088	 0.218000	 0.146000	 3972915.000000	
wless	     1	 10000	    41462	 3.437872	 3.011017	 16.000000	 11.000000	 0.687500	 16.285400	 11.248000	 0.690680	 0.000000	 0.161600	 38346936.000000	
wless	     1	 10000	    41462	 3.437872	 3.011017	 16.000000	 11.000000	 0.687500	 16.285400	 11.248000	 0.690680	 0.000000	 0.161600	 9293733.000000	
wless	     1	 10000	      337	 3.929140	 3.935727	 20.000000	 12.000000	 0.600000	 19.133500	 10.951600	 0.572378	 0.000000	 0.028500	 986278.000000	
wless	     1	 10000	      337	 3.929140	 3.935727	 20.000000	 12.000000	 0.600000	 19.133600	 10.951600	 0.572375	 0.000000	 0.028500	 337296.000000	
wless	     1	 10000	       29	 3.472923	 3.501150	 13.000000	 8.000000	 0.615385	 13.887500	 7.989200	 0.575280	 0.000000	 0.052600	 23706584.000000	
wless	     1	 10000	       29	 3.472923	 3.501150	 13.000000	 8.000000	 0.615385	 13.887500	 7.989200	 0.575280	 0.000000	 0.052600	 103451943.000000	
wless	     1	 10000	      256	 3.463223	 3.429954	 9.000000	 4.000000	 0.444444	 11.776500	 6.873900	 0.583696	 0.000000	 0.067300	 15639036.000000	
wless	     1	 10000	      256	 3.463223	 3.429954	 9.000000	 4.000000	 0.444444	 11.776500	 6.873900	 0.583696	 0.000000	 0.067300	 4793957.000000	
wless	     1	 10000	      402	 3.442770	 3.429419	 11.000000	 5.000000	 0.454545	 12.449000	 7.199500	 0.578320	 0.000000	 0.062100	 1844247.000000	
wless	     1	 10000	      402	 3.442770	 3.429419	 11.000000	 5.000000	 0.454545	 12.449000	 7.199400	 0.578312	 0.000000	 0.062100	 2863732.000000	
wless	     1	 10000	      244	 4.928724	 4.906907	 14.000000	 5.000000	 0.357143	 14.000000	 8.020700	 0.572907	 0.000000	 0.030400	 204916.000000	
wless	     1	 10000	      244	 4.928724	 4.906907	 14.000000	 5.000000	 0.357143	 14.000000	 8.020700	 0.572907	 0.000000	 0.030400	 892882.000000	
wless	     1	 10000	   112829	 3.430827	 3.006236	 16.000000	 11.000000	 0.687500	 16.375000	 11.306800	 0.690492	 0.000000	 0.160700	 9359200.000000	
wless	     1	 10000	   112829	 3.430827	 3.006236	 16.000000	 11.000000	 0.687500	 16.375000	 11.306800	 0.690492	 0.000000	 0.160700	 9540721.000000	
wless	     1	  1000	   112829	 3.430827	 3.094324	 16.000000	 11.000000	 0.687500	 16.425000	 11.128000	 0.677504	 0.000000	 0.146000	 965503.000000	
wless	     1	  1000	   138910	 3.430849	 3.094327	 16.000000	 11.000000	 0.687500	 16.427000	 11.129000	 0.677482	 0.000000	 0.146000	 961252.000000	
wless	 10000	  1000	   168048	 2.959263	 3.099501	 16.799300	 11.644300	 0.693142	 16.870000	 11.365000	 0.673681	 0.164700	 0.140000	 954554.000000	
