iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.16, port 5001
      Cookie: host115.1473073200.036546.49ed06d425
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 36597 connected to 192.168.110.16 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  95.50-96.00  sec   258 MBytes  4334 Mbits/sec    0   2.25 MBytes       
[  5]  96.00-96.50  sec   257 MBytes  4307 Mbits/sec    0   2.25 MBytes       
[  5]  96.50-97.00  sec   260 MBytes  4363 Mbits/sec    0   2.25 MBytes       
[  5]  97.00-97.50  sec   260 MBytes  4351 Mbits/sec    0   2.25 MBytes       
[  5]  97.50-98.00  sec   259 MBytes  4339 Mbits/sec    0   2.25 MBytes       
[  5]  98.00-98.50  sec   258 MBytes  4336 Mbits/sec    0   2.25 MBytes       
[  5]  98.50-99.00  sec   259 MBytes  4335 Mbits/sec    0   2.25 MBytes       
[  5]  99.00-99.50  sec   258 MBytes  4321 Mbits/sec    0   2.25 MBytes       
[  5]  99.50-100.00 sec   319 MBytes  5354 Mbits/sec  476   1.75 MBytes       
[  5] 100.00-100.03 sec  20.0 MBytes  6391 Mbits/sec    0   1.76 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  5]   0.00-100.03 sec  50.0 GBytes  4294 Mbits/sec  871             sender
[  5]   0.00-100.03 sec  50.0 GBytes  4294 Mbits/sec                  receiver
CPU Utilization: local/sender 13.3% (0.2%u/13.1%s), remote/receiver 0.9% (0.1%u/0.8%s)

iperf Done.
