iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.3, port 5001
      Cookie: host106.1473078600.180767.5edff65f79
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 51589 connected to 192.168.110.3 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  78.00-78.50  sec   267 MBytes  4483 Mbits/sec    0   2.59 MBytes       
[  5]  78.50-79.00  sec   267 MBytes  4481 Mbits/sec    0   2.59 MBytes       
[  5]  79.00-79.50  sec   268 MBytes  4487 Mbits/sec    0   2.59 MBytes       
[  5]  79.50-80.00  sec   267 MBytes  4480 Mbits/sec    0   2.59 MBytes       
[  5]  80.00-80.50  sec   267 MBytes  4481 Mbits/sec    0   2.59 MBytes       
[  5]  80.50-81.00  sec   266 MBytes  4464 Mbits/sec    0   2.59 MBytes       
[  5]  81.00-81.50  sec   266 MBytes  4467 Mbits/sec    0   2.59 MBytes       
[  5]  81.50-82.00  sec   266 MBytes  4470 Mbits/sec    0   2.59 MBytes       
[  5]  82.00-82.50  sec   267 MBytes  4484 Mbits/sec    0   2.59 MBytes       
[  5]  82.50-83.00  sec   267 MBytes  4482 Mbits/sec    0   2.59 MBytes       
[  5]  83.00-83.50  sec   267 MBytes  4477 Mbits/sec    0   2.59 MBytes       
[  5]  83.50-84.00  sec   264 MBytes  4437 Mbits/sec    0   2.59 MBytes       
[  5]  84.00-84.50  sec   264 MBytes  4434 Mbits/sec    0   2.59 MBytes       
[  5]  84.50-85.00  sec   264 MBytes  4433 Mbits/sec    0   2.59 MBytes       
[  5]  85.00-85.50  sec   264 MBytes  4425 Mbits/sec    0   2.59 MBytes       
[  5]  85.50-86.00  sec   262 MBytes  4404 Mbits/sec    0   2.59 MBytes       
[  5]  86.00-86.50  sec   262 MBytes  4403 Mbits/sec    0   2.59 MBytes       
[  5]  86.50-87.00  sec   262 MBytes  4400 Mbits/sec    0   2.59 MBytes       
[  5]  87.00-87.50  sec   266 MBytes  4461 Mbits/sec    0   2.59 MBytes       
[  5]  87.50-88.00  sec   265 MBytes  4441 Mbits/sec    0   2.59 MBytes       
[  5]  88.00-88.50  sec   263 MBytes  4418 Mbits/sec    0   2.59 MBytes       
[  5]  88.50-89.00  sec   262 MBytes  4399 Mbits/sec    0   2.59 MBytes       
[  5]  89.00-89.50  sec   262 MBytes  4397 Mbits/sec    0   2.59 MBytes       
[  5]  89.50-90.00  sec   261 MBytes  4376 Mbits/sec    0   2.59 MBytes       
[  5]  90.00-90.50  sec   261 MBytes  4377 Mbits/sec    0   2.59 MBytes       
[  5]  90.50-91.00  sec   261 MBytes  4378 Mbits/sec    0   2.59 MBytes       
