iperf 3.1.3
Linux host113 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt20-1+deb8u3 (2016-01-17) x86_64
Time: Sun, 04 Sep 2016 10:00:00 GMT
Connecting to host 192.168.110.5, port 5001
      Cookie: host113.1472983200.869307.5402687f4b
      TCP MSS: 1448 (default)
[  5] local 192.168.110.13 port 56783 connected to 192.168.110.5 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 35433480192 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5] 133.50-134.00 sec  40.4 MBytes   678 Mbits/sec    0    768 KBytes       
[  5] 134.00-134.50 sec  41.2 MBytes   692 Mbits/sec    0    768 KBytes       
[  5] 134.50-135.00 sec  41.8 MBytes   701 Mbits/sec    0    768 KBytes       
[  5] 135.00-135.50 sec  40.5 MBytes   679 Mbits/sec    0    768 KBytes       
[  5] 135.50-136.00 sec  41.0 MBytes   686 Mbits/sec    0    768 KBytes       
[  5] 136.00-136.50 sec  41.2 MBytes   692 Mbits/sec    0    793 KBytes       
[  5] 136.50-137.00 sec  39.7 MBytes   666 Mbits/sec    0    793 KBytes       
[  5] 137.00-137.50 sec  40.8 MBytes   684 Mbits/sec    0    793 KBytes       
[  5] 137.50-138.00 sec  41.8 MBytes   701 Mbits/sec    0    793 KBytes       
[  5] 138.00-138.50 sec  40.3 MBytes   676 Mbits/sec    0    793 KBytes       
[  5] 138.50-139.00 sec  40.0 MBytes   670 Mbits/sec    0    793 KBytes       
[  5] 139.00-139.50 sec  40.0 MBytes   671 Mbits/sec    0    793 KBytes       
[  5] 139.50-140.00 sec  38.6 MBytes   648 Mbits/sec    0    793 KBytes       
[  5] 140.00-140.50 sec  38.3 MBytes   642 Mbits/sec    0    793 KBytes       
[  5] 140.50-141.00 sec  38.7 MBytes   648 Mbits/sec    0    793 KBytes       
[  5] 141.00-141.50 sec  38.8 MBytes   651 Mbits/sec    0    793 KBytes       
[  5] 141.50-142.00 sec  39.1 MBytes   656 Mbits/sec    0    793 KBytes       
[  5] 142.00-142.50 sec  38.5 MBytes   646 Mbits/sec    0    793 KBytes       
